epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.223,2.16525,2.98971,2.4182,0.93794,0.39869,0.14817,0.09894,0.02006,0.27918,0.12019,0.08306,0.02957,3.50286,4.35021,3.9676,0.75195,0.000657005,0.000657005,0.000657005
2,283.791,1.91029,2.39735,1.15114,0.87067,0.17644,0.09014,0.05151,0.01237,0.12618,0.24601,0.09683,0.04425,3.55211,4.26232,2.78566,0.74195,0.00131057,0.00131057,0.00131057
3,430.391,2.0055,2.27945,1.56173,0.8641,0.11561,0.17746,0.04618,0.00987,0.15973,0.2581,0.09661,0.04867,3.78016,3.97896,60.4372,0.75657,0.00195093,0.00195093,0.00195093
4,572.312,1.87766,2.06783,1.36222,0.85815,0.30206,0.17277,0.10989,0.02402,0.10284,0.44507,0.20175,0.07279,3.71188,3.0672,2.07518,0.75344,0.0019406,0.0019406,0.0019406
5,713.545,1.9422,2.57725,1.05852,0.86192,0.53216,0.16901,0.1727,0.03931,0.11906,0.42817,0.16073,0.07596,3.21223,3.67695,1.59462,0.74465,0.0019208,0.0019208,0.0019208
6,856.413,1.92148,2.39437,1.29433,0.85955,0.38424,0.23099,0.17127,0.03743,0.44086,0.40201,0.29255,0.11032,3.28843,3.79994,1.9578,0.73512,0.001901,0.001901,0.001901
7,1018.8,1.81976,2.27103,1.29453,0.85513,0.20941,0.10235,0.06618,0.01473,0.11252,0.0892,0.03987,0.01811,3.41088,3.82812,3.4751,0.72718,0.0018812,0.0018812,0.0018812
8,1171.46,1.74207,2.00732,1.11656,0.86552,0.36461,0.20657,0.15659,0.04001,0.27711,0.1784,0.1351,0.04987,3.09539,3.14995,1.61047,0.72726,0.0018614,0.0018614,0.0018614
9,1326.17,1.88097,2.04981,0.97948,0.83948,0.42669,0.17746,0.1421,0.03404,0.33211,0.17696,0.11614,0.04599,3.28597,2.94387,1.4378,0.75753,0.0018416,0.0018416,0.0018416
10,1499.07,1.72266,1.82014,0.83169,0.86356,0.55579,0.19624,0.2124,0.05975,0.12062,0.30704,0.11726,0.04929,2.81567,2.40637,1.23426,0.74785,0.0018218,0.0018218,0.0018218
11,1671.2,1.70631,1.82151,0.79708,0.84428,0.55525,0.23099,0.22098,0.05666,0.36994,0.1784,0.16512,0.06374,3.0543,2.7441,1.29635,0.7445,0.001802,0.001802,0.001802
12,1840.05,1.75814,1.99409,0.78513,0.83974,0.43557,0.22347,0.19857,0.04724,0.22141,0.14836,0.08961,0.03729,3.08584,2.85044,1.24814,0.72893,0.0017822,0.0017822,0.0017822
13,1999.67,1.70629,1.87217,0.74297,0.83622,0.48147,0.20576,0.18441,0.05144,0.23265,0.13803,0.08549,0.0349,2.97859,3.35924,1.58095,0.72681,0.0017624,0.0017624,0.0017624
14,2164.82,1.63316,1.81738,0.71389,0.84852,0.62666,0.29953,0.3098,0.08541,0.43089,0.21596,0.20927,0.08566,2.71361,2.9193,1.17568,0.72031,0.0017426,0.0017426,0.0017426
15,2315.05,1.61685,1.69654,0.70246,0.83238,0.60007,0.30573,0.31075,0.08775,0.29188,0.16487,0.12093,0.04946,2.74205,2.66965,1.12544,0.71411,0.0017228,0.0017228,0.0017228
16,2468.73,1.62287,1.67597,0.68942,0.82847,0.5789,0.28638,0.29102,0.08048,0.44153,0.25166,0.21152,0.08363,2.84736,2.935,1.12625,0.72898,0.001703,0.001703,0.001703
17,2621.28,1.56297,1.76327,0.67047,0.83345,0.57321,0.2724,0.26931,0.07855,0.29493,0.1615,0.11159,0.04151,2.73677,3.00511,1.10795,0.71609,0.0016832,0.0016832,0.0016832
18,2776.81,1.61695,1.83431,0.67291,0.82753,0.64203,0.28169,0.33378,0.10302,0.42662,0.18967,0.2023,0.07963,2.53629,2.99098,1.05877,0.72145,0.0016634,0.0016634,0.0016634
19,2932.9,1.69174,1.83052,0.69034,0.83803,0.58585,0.29577,0.32597,0.09481,0.25047,0.13618,0.10646,0.04632,2.64425,3.38299,1.03601,0.7152,0.0016436,0.0016436,0.0016436
20,3106.74,1.68971,1.82238,0.69097,0.83758,0.62042,0.33615,0.38676,0.11858,0.2893,0.23474,0.15381,0.06803,2.55967,2.79683,0.94882,0.71539,0.0016238,0.0016238,0.0016238
21,3256.52,1.58132,1.5961,0.65487,0.83546,0.58522,0.24695,0.31723,0.09921,0.15197,0.29765,0.13406,0.0607,2.70247,3.07008,0.95553,0.72253,0.001604,0.001604,0.001604
22,3409.61,1.63049,1.73066,0.6754,0.82641,0.6487,0.29671,0.38804,0.13329,0.20417,0.32207,0.16881,0.07886,2.33537,3.14536,0.86724,0.70805,0.0015842,0.0015842,0.0015842
23,3554.73,1.56442,1.71845,0.64033,0.83451,0.52798,0.3108,0.33548,0.07812,0.38676,0.39531,0.2742,0.12703,2.87403,2.56498,1.07003,0.71757,0.0015644,0.0015644,0.0015644
24,3699.67,1.59662,1.76877,0.66808,0.83231,0.72851,0.31737,0.45989,0.15842,0.30341,0.36808,0.23456,0.12046,2.30658,2.67775,0.86186,0.7082,0.0015446,0.0015446,0.0015446
25,3843.67,1.64858,1.71823,0.6841,0.81837,0.72859,0.31255,0.44569,0.14392,0.30746,0.37559,0.2515,0.12823,2.50082,2.81852,0.89492,0.71028,0.0015248,0.0015248,0.0015248
26,3989.51,1.5339,1.69747,0.63657,0.83093,0.66547,0.33709,0.42802,0.1427,0.23151,0.3615,0.20248,0.09206,2.3974,2.65096,0.86022,0.71641,0.001505,0.001505,0.001505
27,4132.71,1.52904,1.65901,0.64344,0.82417,0.72766,0.30986,0.43014,0.14388,0.22411,0.30892,0.18906,0.09553,2.40692,3.00014,0.85132,0.70755,0.0014852,0.0014852,0.0014852
28,4278.01,1.55549,1.69349,0.64477,0.81845,0.67832,0.3267,0.41713,0.13589,0.25195,0.39437,0.23437,0.11558,2.38016,3.07938,0.84019,0.71134,0.0014654,0.0014654,0.0014654
29,4423.25,1.60223,1.68483,0.63753,0.82607,0.63245,0.30141,0.37637,0.11821,0.23378,0.35869,0.21219,0.10243,2.55601,3.05736,0.86453,0.71294,0.0014456,0.0014456,0.0014456
30,4567.39,1.53429,1.64737,0.62769,0.84255,0.64319,0.28545,0.36763,0.11988,0.20524,0.30892,0.18062,0.08984,2.44686,2.97558,0.84769,0.70818,0.0014258,0.0014258,0.0014258
31,4708.72,1.55773,1.70379,0.62707,0.82817,0.65275,0.31241,0.38103,0.12126,0.21294,0.3831,0.19617,0.09154,2.46831,2.74865,0.8713,0.70981,0.001406,0.001406,0.001406
32,4853.21,1.47779,1.59294,0.60773,0.81972,0.68197,0.34366,0.43566,0.14083,0.21612,0.33239,0.17768,0.08501,2.5046,2.92614,0.88119,0.70662,0.0013862,0.0013862,0.0013862
33,4992.97,1.54598,1.7226,0.64082,0.8305,0.41823,0.41784,0.46005,0.15725,0.26692,0.26667,0.18489,0.09176,2.4881,2.74113,0.92251,0.7071,0.0013664,0.0013664,0.0013664
34,5142.67,1.44527,1.62382,0.60601,0.82373,0.70614,0.30892,0.42796,0.1472,0.25224,0.34366,0.20598,0.09475,2.35556,2.84381,0.87521,0.70711,0.0013466,0.0013466,0.0013466
35,5288.39,1.49488,1.63707,0.59991,0.8255,0.61726,0.29108,0.3576,0.11679,0.12413,0.21878,0.09595,0.04821,2.55433,3.34548,0.8906,0.70684,0.0013268,0.0013268,0.0013268
36,5446.36,1.46087,1.58336,0.60429,0.80849,0.69052,0.34987,0.43897,0.14586,0.23818,0.38779,0.2203,0.09562,2.33587,2.64331,0.85843,0.70891,0.001307,0.001307,0.001307
37,5640.82,1.51314,1.66653,0.61366,0.82617,0.73349,0.33078,0.4616,0.16033,0.27707,0.34836,0.22595,0.09355,2.29998,3.04524,0.83223,0.70629,0.0012872,0.0012872,0.0012872
38,5814.14,1.45933,1.50887,0.6058,0.82396,0.7265,0.28184,0.40905,0.12903,0.25573,0.28263,0.19138,0.09016,2.54432,2.6725,0.8505,0.70716,0.0012674,0.0012674,0.0012674
39,5984.03,1.57694,1.58105,0.62683,0.81986,0.77761,0.32019,0.4365,0.14237,0.23642,0.29014,0.18168,0.08892,2.4323,2.98384,0.85857,0.70524,0.0012476,0.0012476,0.0012476
40,6140.75,1.48908,1.55824,0.61835,0.8324,0.64969,0.30127,0.36417,0.11818,0.14158,0.22254,0.10542,0.04908,2.42327,2.66365,0.87599,0.7058,0.0012278,0.0012278,0.0012278
41,6297.25,1.5078,1.61857,0.62799,0.83383,0.67956,0.39228,0.46848,0.16991,0.25661,0.42817,0.22454,0.10424,2.19766,2.42522,0.84486,0.7071,0.001208,0.001208,0.001208
42,6458.71,1.46276,1.52717,0.59113,0.82372,0.71492,0.32113,0.45839,0.17156,0.2173,0.28545,0.15622,0.07451,2.17263,2.39493,0.81424,0.70501,0.0011882,0.0011882,0.0011882
43,6623.61,1.48368,1.58495,0.60087,0.82034,0.78587,0.29108,0.45164,0.15816,0.20533,0.22441,0.1419,0.07115,2.32721,2.76947,0.81508,0.70685,0.0011684,0.0011684,0.0011684
44,6787.41,1.48571,1.56704,0.60074,0.82061,0.77492,0.34267,0.48383,0.17343,0.27869,0.35117,0.23129,0.10786,2.20638,2.58377,0.79245,0.70658,0.0011486,0.0011486,0.0011486
45,6955.21,1.5914,1.64959,0.63391,0.82433,0.73145,0.33427,0.45437,0.15445,0.26991,0.35962,0.22107,0.10976,2.31024,2.64108,0.82226,0.70421,0.0011288,0.0011288,0.0011288
46,7120.1,1.48706,1.53702,0.61589,0.82191,0.68087,0.33991,0.41868,0.13104,0.19843,0.33146,0.16382,0.07288,2.4063,2.64826,0.86261,0.70311,0.001109,0.001109,0.001109
47,7278.93,1.55676,1.60094,0.63464,0.82027,0.69709,0.3263,0.43995,0.16422,0.19306,0.277,0.1413,0.06437,2.16942,2.69688,0.79785,0.70508,0.0010892,0.0010892,0.0010892
48,7380.54,1.4264,1.48527,0.58729,0.81641,0.75818,0.32089,0.47976,0.16728,0.21547,0.24319,0.14633,0.07033,2.29222,2.45492,0.78879,0.70452,0.0010694,0.0010694,0.0010694
49,7482.17,1.40345,1.45072,0.58851,0.82482,0.7834,0.33615,0.47796,0.18064,0.25513,0.29202,0.18792,0.08616,2.19683,2.67864,0.76237,0.70442,0.0010496,0.0010496,0.0010496
50,7583.87,1.46248,1.56326,0.5915,0.83338,0.74931,0.30516,0.43891,0.14769,0.22697,0.25915,0.16184,0.07588,2.39794,2.93121,0.80547,0.70639,0.0010298,0.0010298,0.0010298
51,7685.99,1.40877,1.57218,0.59469,0.8077,0.75416,0.38498,0.51575,0.193,0.24539,0.33709,0.19396,0.08973,2.01436,2.42638,0.75847,0.70129,0.00101,0.00101,0.00101
52,7786.79,1.43662,1.5344,0.59701,0.8148,0.77836,0.37559,0.50128,0.1863,0.21855,0.323,0.17558,0.07495,2.06054,2.36761,0.75941,0.70349,0.0009902,0.0009902,0.0009902
53,7899.33,1.40228,1.46096,0.57668,0.81395,0.49143,0.48451,0.5485,0.21274,0.30952,0.30516,0.2175,0.10573,2.06357,2.58665,0.74833,0.70176,0.0009704,0.0009704,0.0009704
54,8009.19,1.4686,1.52743,0.59467,0.81014,0.78666,0.37277,0.52757,0.19911,0.27584,0.34836,0.20741,0.10002,2.03255,2.31688,0.74505,0.70365,0.0009506,0.0009506,0.0009506
55,8129.36,1.34597,1.44206,0.56574,0.80797,0.70412,0.31643,0.43286,0.15451,0.1539,0.21502,0.10715,0.05455,2.29179,2.95274,0.78356,0.70318,0.0009308,0.0009308,0.0009308
56,8241.41,1.37145,1.48077,0.57547,0.81459,0.75745,0.36946,0.51006,0.18526,0.2565,0.3615,0.20625,0.09846,2.13009,2.50716,0.76214,0.70323,0.000911,0.000911,0.000911
57,8351.59,1.39325,1.60051,0.57797,0.81935,0.79244,0.36338,0.5216,0.19522,0.27806,0.36526,0.22045,0.10779,2.089,2.32243,0.74368,0.70252,0.0008912,0.0008912,0.0008912
58,8463.93,1.41253,1.54771,0.58402,0.80959,0.80099,0.35023,0.52152,0.20178,0.25063,0.27981,0.1813,0.08837,1.99788,2.27237,0.73501,0.70064,0.0008714,0.0008714,0.0008714
59,8576.56,1.32468,1.42544,0.5499,0.81728,0.47306,0.48638,0.5405,0.20057,0.28402,0.29202,0.19801,0.09863,2.07293,2.31991,0.74869,0.70089,0.0008516,0.0008516,0.0008516
60,8693.02,1.39454,1.54207,0.57453,0.80873,0.77699,0.36313,0.52386,0.19304,0.26582,0.33521,0.19515,0.09756,2.08465,2.39895,0.74261,0.69942,0.0008318,0.0008318,0.0008318
61,8825.69,1.37373,1.50528,0.57356,0.82703,0.75739,0.37653,0.51978,0.19786,0.25743,0.33333,0.19025,0.09316,1.998,2.37357,0.7326,0.70212,0.000812,0.000812,0.000812
62,8955.85,1.40665,1.48926,0.57712,0.80468,0.78481,0.33333,0.50149,0.19142,0.24373,0.26479,0.16888,0.08371,2.12847,2.24826,0.71787,0.70276,0.0007922,0.0007922,0.0007922
63,9082.06,1.38671,1.50599,0.56854,0.8127,0.75004,0.39727,0.5504,0.21779,0.26685,0.27887,0.18515,0.09093,2.00165,2.20887,0.70211,0.70035,0.0007724,0.0007724,0.0007724
64,9192.5,1.33758,1.48286,0.55591,0.80492,0.84405,0.35066,0.54283,0.21183,0.28534,0.30704,0.2109,0.11143,2.06126,2.27354,0.70674,0.70232,0.0007526,0.0007526,0.0007526
